Metric,Value
Agent Type,Heuristic_Trial4_Lap5
Completion Time (s),207.9181
Collision Count,0
Distance Traveled (m),2876.315
Average Speed (m/s),13.91081
Maximum Speed (m/s),15.41433
Minimum Speed (m/s),0.09810596
Speed Standard Deviation,1.393924
Speed Consistency,0.8997956
Average Steering Angle (deg),0.7788187
Maximum Steering Angle (deg),54.29818
Steering Smoothness,0.9956732
Average Acceleration (m/s²),19.23651
Maximum Acceleration (m/s²),943.9827
Average Path Deviation (m),0
Maximum Path Deviation (m),0

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,42.206,41.451,13.733,15.414,0.098,0.906,54.298,19.407,470.374,0.000,0,1.000
2,42.206,83.790,41.584,13.932,15.000,5.101,0.625,9.223,15.651,171.033,0.000,0,1.000
3,83.790,125.095,41.304,14.006,15.000,5.160,0.699,13.939,17.593,338.206,0.000,0,1.000
4,125.095,166.506,41.412,13.951,15.000,3.132,0.872,26.618,23.113,943.983,0.000,0,1.000
5,166.506,207.918,41.412,13.935,15.000,3.022,0.790,30.647,20.431,759.873,0.000,0,1.000

Lap Summary
Metric,Value
Total Laps,5
Best Lap Time,41.304
Worst Lap Time,41.584
Average Lap Time,41.433
Lap Time Consistency,0.998
Time Efficiency,0.9944703
