Metric,Value
Agent Type,Heuristic_Trial5_Lap5
Completion Time (s),208.3858
Collision Count,0
Distance Traveled (m),2876.42
Average Speed (m/s),13.89039
Maximum Speed (m/s),15.46498
Minimum Speed (m/s),0.0981
Speed Standard Deviation,1.428427
Speed Consistency,0.8971644
Average Steering Angle (deg),0.8227226
Maximum Steering Angle (deg),34.18817
Steering Smoothness,0.9954293
Average Acceleration (m/s²),20.47654
Maximum Acceleration (m/s²),856.4283
Average Path Deviation (m),0
Maximum Path Deviation (m),0

Lap Data
Lap,StartTime,EndTime,LapTime,AvgSpeed,MaxSpeed,MinSpeed,AvgSteering,MaxSteering,AvgAccel,MaxAccel,PathDeviation,Collisions,Efficiency
1,0.000,42.405,41.675,13.660,15.465,0.098,0.847,30.768,21.495,856.428,0.000,0,1.000
2,42.405,84.017,41.612,13.924,15.000,2.694,0.831,18.214,20.535,335.281,0.000,0,1.000
3,84.017,125.459,41.442,13.966,15.000,5.973,0.783,22.761,19.401,484.657,0.000,0,1.000
4,125.459,166.782,41.323,14.006,14.990,6.773,0.703,17.100,17.920,426.434,0.000,0,1.000
5,166.782,208.386,41.604,13.901,15.000,5.707,0.949,34.188,22.996,802.232,0.000,0,1.000

Lap Summary
Metric,Value
Total Laps,5
Best Lap Time,41.323
Worst Lap Time,41.675
Average Lap Time,41.531
Lap Time Consistency,0.997
Time Efficiency,0.9937332
